연번,설치년월,읍면동,도로명주소,지번주소,위도,경도,상세위치,데이터기준일
1,2023-04-10,우두동,강원특별자치도 춘천시 충열로16번길 13-8,강원특별자치도 춘천시 우두동 1063-3,37.8993849949,127.7297629445,,2024-12-30
2,2023-04-10,퇴계동,강원특별자치도 춘천시 춘주로201번길 17,강원특별자치도 춘천시 퇴계동 900-1,37.8615187298,127.7264866416,,2024-12-30
3,2023-04-10,근화동,강원특별자치도 춘천시 공지로 451번길 16, 강원특별자치도 춘천시 근화동 283-12,37.8728666526,127.7167471400,,2024-12-30
4,2023-04-10,소양동,강원특별자치도 춘천시 소양로 190번길,강원특별자치도 춘천시 소양로1가 94-6,37.8901906707,127.7257991624,스마트하우스 옆,2024-12-30
5,2023-04-10,온의동,강원특별자치도 춘천시 온의동 산26 (534-9호),강원특별자치도 춘천시 온의동 산26 (534-9호),37.8612807070,127.7157107040,,2024-12-30
6,2023-04-10,온의동,강원특별자치도 춘천시 충혼길52번길 19-28 (535-10호),강원특별자치도 춘천시 온의동 535-10,37.8597374031,127.7176281432,,2024-12-30
7,2017-11-01,옥천동,강원특별자치도 춘천시 옥천길 40번길,강원특별자치도 춘천시 옥천동 65,37.88281968,127.7301968,봉의산 등반 계단 입구,2024-12-30
8,2017-11-01,소양동,강원특별자치도 춘천시 소양로3가22-1,강원특별자치도 춘천시 소양로3가22-1,,,소양고개길 클린하우스,2024-12-30
9,2017-11-01,우두동,강원특별자치도 춘천시 신흥길 15-1,강원특별자치도 춘천시 우두동 1053-1,37.9006482126,127.7279688767,,2024-12-30
10,2017-11-01,옥천동,강원특별자치도 춘천시 서부대성로 59,강원특별자치도 춘천시 옥천동 37-6,37.8829036661,127.7297517939,보영이네 해물칼국수 앞 전봇대,2024-12-30
11,2017-11-01,옥천동,강원특별자치도 춘천시 서부대성로 71,강원특별자치도 춘천시 옥천동 73-2,37.8823741253,127.7313736337,춘천예술마당 앞,2024-12-30
12,2017-11-01,약사동,강원특별자치도 춘천시 약사동 2-22 ,강원특별자치도 춘천시 약사동 2-22 ,37.8772932970,127.7290917114,,2024-12-30
13,2017-11-01,약사명동,강원특별자치도 춘천시 약사길 36,강원특별자치도 춘천시 중앙로3가 23-64,37.8756091779,127.7243572805,,2024-12-30
14,2017-11-01,약사명동,강원특별자치도 춘천시 약사동 25-29,강원특별자치도 춘천시 약사동 25-29,37.8753326229,127.7280838246,,2024-12-30
15,2017-11-01,근화동,강원특별자치도 춘천시 근화길 15번길 31 앞,강원특별자치도 춘천시 근화동 289-8,37.8725855848,127.7187679222,,2024-12-30
16,2017-11-01,운교동,강원특별자치도 춘천시 운교동 139-1,강원특별자치도 춘천시 운교동 139-1,,,운교성당 옆,2024-12-30
17,2017-11-01,퇴계동,강원특별자치도 춘천시 방송길47번길,강원특별자치도 춘천시 효자1동 591-49,37.87081925,127.7219905,남춘천성결교회 앞,2024-12-30
18,2017-11-01,퇴계동,강원특별자치도 춘천시 공원2길 2,강원특별자치도 춘천시  퇴계동 880-1,37.8618638081,127.7246118198,,2024-12-30
19,2023-04-10,우두동,강원특별자치도 춘천시 영서로 2753번길 6,강원특별자치도 춘천시 우두동 1052-16,37.8992410992,127.7278451868,,2024-12-30
20,2017-11-01,우두동,강원특별자치도 춘천시 우두동 1099,강원특별자치도 춘천시 우두동 1099,37.9100648586,127.7391849072,,2024-12-30
21,2017-11-01,조양동,강원특별자치도 춘천시 아침길 11,강원특별자치도 춘천시 조양동 65-1,37.8794419165,127.7303502952,조운동 주민센터 내,2024-12-30
22,2017-11-01,죽림동, 강원특별자치도 춘천시 망대길 9,강원특별자치도 춘천시 죽림동 109-4,37.8765181745,127.7247301232,약사명동 주민센터 내 ,2024-12-30
23,2017-11-01,교동,강원특별자치도 춘천시 교동길 15번,강원특별자치도 춘천시 교동 145-3,37.8806395540,127.7359292958,,2024-12-30
24,2017-11-01,온의동,강원특별자치도 춘천시 춘주로 47 앞,강원특별자치도 춘천시 온의동 143-32,37.8645919771,127.7163284447,,2024-12-30
25,2017-11-01,사농동,강원특별자치도 춘천시 사우4길 28,강원특별자치도 춘천시  사농동 99-7,37.9059466768,127.7279063462,신사우동주민센터 내,2024-12-30
26,2017-11-01,우두동,강원특별자치도 춘천시 충열로 80(소양학사내),강원특별자치도 춘천시 우두동 416-1,37.8999601971,127.7372147239,,2024-12-30
27,2017-11-01,근화동,강원특별자치도 춘천시 소양로 163번길 51 앞,강원특별자치도 춘천시 근화동 799-21,37.8912726519,127.7248542773,,2024-12-30
28,2017-11-01,신동,강원특별자치도 춘천시 신동 639-5,강원특별자치도 춘천시 신동 639-5,37.9402635798,127.7276048150,경로당 앞 게시판,2024-12-30
29,2017-11-01,죽림동,강원특별자치도 춘천시 중앙로 77번길 35,강원특별자치도 춘천시 죽림동 28-5,37.8774823044,127.7288674331,,2024-12-30
30,2017-11-01,서면,강원특별자치도 춘천시 방동리 1008-136,강원특별자치도 춘천시 서면 당산길 8,37.89670137,127.6694979,게이트볼장 옆,2024-12-30
31,2017-11-01,사북면,강원특별자치도 춘천시 사북면 배울길 3,강원특별자치도 춘천시 사북면 오탄리 171,38.0426315454,127.6228683947,커뮤니센터 앞,2024-12-30
32,2017-11-01,사북면, 강원특별자치도 춘천시 사북면 가일길 334,강원특별자치도 춘천시 가일리 129 ,38.0238782001,127.6891481294,마을회관,2024-12-30
33,2017-11-01,약사명동,강원특별자치도 춘천시  약사길 68,강원특별자치도 춘천시 약사동 69-31,37.8749492564,127.7252043908,,2024-12-30
34,2017-11-01,칠전동,강원특별자치도 춘천시 칠전동길 33 앞,강원특별자치도 춘천시 칠전동 605-8,37.8411283957,127.7154545704,,2024-12-30
35,2017-11-01,온의동,강원특별자치도 춘천시 경춘로 2277-1,강원특별자치도 춘천시 온의동 286-12,37.8575089252,127.7153362953,,2024-12-30
36,2018-09-01,퇴계동,강원특별자치도 춘천시 춘천로 13번길 25,강원특별자치도 춘천시 퇴계동 1188,37.8660096736,127.7218031245,,2024-12-30
37,2018-09-01,석사동,강원특별자치도 춘천시 석사동668,강원특별자치도 춘천시 석사동668,37.8581522920,127.7440430123,푸르미공원 입구,2024-12-30
38,2018-09-01,석사동,강원특별자치도 춘천시 후석로 48,강원특별자치도 춘천시 석사동665,37.8585325418,127.7423536566,석사동주민센터 옆 클린하우스,2024-12-30
39,2018-09-01,석사동,강원특별자치도 춘천시  벌말길 89,강원특별자치도 춘천시 석사동 697-1,37.8613861091,127.7417461383,석사동639 cu편의점 앞,2024-12-30
40,2018-09-01,석사동,강원특별자치도 춘천시 석사동900,강원특별자치도 춘천시 석사동900,37.8494181785,127.7516336004, 스무숲 주차장쪽,2024-12-30
41,2023-04-10,석사동,강원특별자치도 춘천시 석사동 우석로 70 ,강원특별자치도 춘천시 석사동 95-3 ,37.8640187675,127.7521906961,박물관위 클린하우스,2024-12-30
42,2023-04-10,석사동,강원특별자치도 춘천시 우석로4번길 63,강원특별자치도 춘천시 석사동 771-1 ,37.8622339530,127.7487386287,"박물관밑, 청룡사입구, 클린하우스",2024-12-30
43,2018-09-01,석사동,강원특별자치도 춘천시 애막골길 3번길,강원특별자치도 춘천시 석사동 우석로 79번길 28-2 ,37.8652966,127.7538401,강대스포츠센터건너편,2024-12-30
44,2023-04-10,석사동,강원특별자치도 춘천시 효석로 67,강원특별자치도 춘천시 석사동 710-13,37.8609910550,127.7379027394,석사아파트 하천변 클린하우스,2024-12-30
45,2018-09-01,퇴계동,강원특별자치도 춘천시  미나리길 7-1,강원특별자치도 춘천시 퇴계동 383-6,37.8600391142,127.7292142487,롯데슈퍼 옆 클린하우스,2024-12-30
46,2018-09-01,퇴계동,강원특별자치도 춘천시 퇴계로77번길 22-2,강원특별자치도 춘천시 퇴계동 343-45,37.8644385147,127.7310646202,빅힐모텔 앞 클린하우스,2024-12-30
47,2018-09-01,효자동,강원특별자치도 춘천시 효명길39-1,강원특별자치도 춘천시 효자동 439-9,37.8695960903,127.7294358350,"사거리,동제한의원 부근",2024-12-30
48,2018-11-01,효자동,강원특별자치도 춘천시 춘천로64번길 27,강원특별자치도 춘천시 효자동 689,37.8686446441,127.7270864338,"수협뒤, 칠성기업맞은편",2024-12-30
49,2018-11-01,효자동,강원특별자치도 춘천시 남춘로51번길 34,강원특별자치도 춘천시 효자동 697-20,37.8671572632,127.7295385071,양우아파트 후문,2024-12-30
50,2018-11-01,효자동,강원특별자치도 춘천시 남춘로 51번길 22,강원특별자치도 춘천시 효자동 706-3,37.8665176386,127.7306512644,양우아파트 정문쪽,2024-12-30
51,2018-11-01,효자동,강원특별자치도 춘천시 효자상길 9,강원특별자치도 춘천시 효자동 539-4,37.8721810062,127.7275196593,효자1동 주민센터 앞,2024-12-30
52,2018-11-01,동내면,강원특별자치도 춘천시 동내면 거두길 92-4 ,강원특별자치도 춘천시 거두리 583,37.8609034281,127.7673269817,킹스키즈어린이집 앞,2024-12-30
53,2018-11-01,동내면,강원특별자치도 춘천시 동내면 거두길 31,강원특별자치도 춘천시 동내면 거두리 548-2,37.8613915476,127.7625295140,거두1리 마을회관,2024-12-30
54,2018-11-01,후평동,강원특별자치도 춘천시 후석로 344번길,강원특별자치도 춘천시 후평동 429-17,37.8816296943,127.7496195812,부안막국수 뒤),2024-12-30
55,2018-11-01,퇴계동,강원특별자치도 춘천시 퇴계로 93번길,강원특별자치도 춘천시  퇴계동 392-63,37.8620443183,127.7305951656,하천변 클린하우스/복순이해물찜앞,2024-12-30
56,2019-03-01,석사동,강원특별자치도 춘천시 공지로 108-10,강원특별자치도 춘천시 석사동 325-1,37.8567293653,127.7490619004,미리네공원 인근,2024-12-30
57,2023-04-10,온의동,강원특별자치도 춘천시 영서로 2277번길 ,강원특별자치도 춘천시  온의동 515-1,37.8626032603,127.7198438282,터미널 농협뒤,2024-12-30
58,2019-06-01,동내면,강원특별자치도 춘천시 동내면 춘천순환로72번길 72,강원특별자치도 춘천시 동내면 거두리 990-8,37.8503119610,127.7551226832,"교도소앞, 춘천퇴계유통앞",2024-12-30
59,2019-06-01,효자동,강원특별자치도 춘천시 명주길5번길 23-2,강원특별자치도 춘천시 효자동 446-61,37.8718398389,127.7292646334,"공원입구, 클린하우스",2024-12-30
60,2023-04-10,동내면,강원특별자치도 춘천시 동내면 거두택지길 4-25,강원특별자치도 춘천시 거두리 974-1,37.85148192,127.7529449,극동아파트 건너편,2024-12-30
61,2023-04-10,석사동,강원특별자치도 춘천시 동내면 새롬공원길 5번길 1,강원특별자치도 춘천시 석사동 843-10,37.8529201826,127.7467134908,썸데이카페앞,2024-12-30
62,2023-04-10,동내면,강원특별자치도 춘천시 동내면 거두택지길 87-12,강원특별자치도 춘천시 거두리 1111-12,37.8559882967,127.7584152568,비스트로마리오까페앞,2024-12-30
63,2019-06-01,남산면,강원특별자치도 춘천시 산수길 301-10,강원특별자치도 춘천시 남산면 산수리 249,37.7140812749,127.6681258194,산수1리마을쉼터 옆,2024-12-30
64,2019-06-01,남산면,강원특별자치도 춘천시 강촌리681-3,강원특별자치도 춘천시 강촌리681-3,37.81143791,127.6340587,강촌자율방범대 옆,2024-12-30
65,2019-06-01,퇴계동,강원특별자치도 춘천시 춘천시 김유정로 1852-31,강원특별자치도 춘천시  퇴계동 111-27,37.8512341182,127.7354711250,퇴계동 홈플러스 건너편,2024-12-30
66,2019-06-01,석사동,강원특별자치도 춘천시 석사동 79번길,강원특별자치도 춘천시 석사동 78,37.8652006638,127.7545873117,강원대스포츠센터 위/ 정형외과앞,2024-12-30
67,2020-06-01,북산면,강원특별자치도 춘천시 북산면 추곡리 95-2,강원특별자치도 춘천시 북산면 추곡리 95-2,38.0253578386,127.8907074334,,2024-12-30
68,2020-06-01,후평동,강원특별자치도 춘천시 춘천로 387,강원특별자치도 춘천시 후평동 296-9,37.8880367278,127.7508080162,형제기업사옆,2024-12-30
69,2020-06-01,후평동,강원특별자치도 춘천시 춘천로 370번길 23-1,강원특별자치도 춘천시 후평동 300-1,37.8864581082,127.7500753749,,2024-12-30
70,2020-06-01,교동,강원특별자치도 춘천시 삭주로 45-1,강원특별자치도 춘천시 교동 150-9,37.8826649418,127.7360719874,,2024-12-30
71,2020-06-01,교동,강원특별자치도 춘천시 교동길 74-1,강원특별자치도 춘천시 교동 11-73,37.8827953760,127.7375578173,,2024-12-30
72,2020-06-01,교동,강원특별자치도 춘천시 전원안길33번길 3,강원특별자치도 춘천시 교동 113-69,37.8792900475,127.7387493016,,2024-12-30
73,2020-06-01,후평동,강원특별자치도 춘천시 삭주로 108번길 33,강원특별자치도 춘천시 후평동 862-4,37.8820129755,127.7414069132,,2024-12-30
74,2020-06-01,후평동,강원특별자치도 춘천시 후석로 379번길 38,강원특별자치도 춘천시 후평동 853-7,37.8834782562,127.7431341731,후평새싹공원 클린하우스,2024-12-30
75,2020-06-01,후평동,강원특별자치도 춘천시 춘천로 295번길 8,강원특별자치도 춘천시 후평동 378-29,37.8818962150,127.7455438512,,2024-12-30
76,2020-06-01,후평동,강원특별자치도 춘천시 춘천로 269번길 7,강원특별자치도 춘천시 후평동 676-12,37.8804809785,127.7427023571,,2024-12-30
77,2023-04-10,후평동,강원특별자치도 춘천시 대양당길 9번길 15,강원특별자치도 춘천시 후평동 804-20,37.8768140493,127.7537397391,후평3동 주민센터 옆,2024-12-30
78,2023-04-10,후평동,강원특별자치도 춘천시 춘천로 282번길,강원특별자치도 춘천시 후평동 683-14,37.8802301690,127.7446689904,,2024-12-30
79,2023-04-10,효자동,강원특별자치도 춘천시 두하길 21 ,강원특별자치도 춘천시 효자동 44-49,37.8764703771,127.7413769273,효자3동 행정복지센터 내,2024-12-30
80,2023-04-10,효자동,강원특별자치도 춘천시 서부대성로 18-4,강원특별자치도 춘천시 효자동127-11,37.8739263928,127.7391478482,,2024-12-30
81,2023-04-10,효자동,강원특별자치도 춘천시 둥지길 47번길 8(효자동 126-155),강원특별자치도 춘천시 효자동 126-155,37.8732381778,127.7388583215,,2024-12-30
82,2023-04-10,효자동,강원특별자치도 춘천시 효자2동 산32-53,강원특별자치도 춘천시 효자2동 산 32-53,37.8682688,127.7370173,지성공원,2024-12-30
83,2023-04-10,효자동,강원특별자치도 춘천시 백령로119번길,강원특별자치도 춘천시 효자동 776-7,37.8729983349,127.7401229524,청소년수련관뒤,2024-12-30
84,2023-04-10,효자동,강원특별자치도 춘천시 효자동171-14,강원특별자치도 춘천시 효자동171-14,,,효제초교부근,2024-12-30
85,2023-04-10,효자동,강원특별자치도 춘천시 효제길 23번길 18-1,강원특별자치도 춘천시 효자동 159-40,37.8727042690,127.7374673122,,2024-12-30
86,2023-04-10,효자동,강원특별자치도 춘천시 백령로 51,강원특별자치도 춘천시 효자동 174-59,37.8681720285,127.7367362727,,2024-12-30
87,2023-04-10,후평동,강원특별자치도 춘천시 후만로 116번길,강원특별자치도 춘천시 후평동 883,37.8743804422,127.7584558044,,2024-12-30
88,2023-04-10,석사동,강원특별자치도 춘천시 우석로85번길 14,강원특별자치도 춘천시 석사동 724-8,37.86679734,127.7545963,미리네공원,2024-12-30
89,2023-04-10,후평동,강원특별자치도 춘천시 후만로 116번길-20,강원특별자치도 춘천시 후평동 878,37.8754276078,127.7579217755,행복한교회부근 클린하우스,2024-12-30
90,2023-04-10,신동면,강원특별자치도 춘천시 삼포길67,강원특별자치도 춘천시 신동면 증리 131-11,37.7979883518,127.7152605861,증4리마을쉼터 옆,2024-12-30
91,2023-04-10,신동면,강원특별자치도 춘천시 증리 1041-1,강원특별자치도 춘천시 신동면 증리 1041-1,37.80009277,127.7327174,버스종점옆,2024-12-30
92,2023-04-10,신동면,강원특별자치도 춘천시 팔미리 267-3,강원특별자치도 춘천시 팔미리 267-3,37.81799126,127.7003025,동네마당 옆,2024-12-30
93,2023-04-10,동면,강원특별자치도 춘천시 가산로 45,강원특별자치도 춘천시 동면 지내리 133-4,37.9081249630,127.7812436647,가산권역도농교류센터뒤편,2024-12-30
94,2023-04-10,동면,강원특별자치도 춘천시 동면 길골길 224,강원특별자치도 춘천시 상걸리 601,37.8646395892,127.8167969712,상걸교내려가기전도로옆,2024-12-30
