의료기관명,어린이_국가예방접종,인유두종 바이러스_국가예방접종_지원사업,비형간염_주산기감염_예방사업,인플루엔자_어린이_13세이하,인플루엔자_어르신,인플루엔자_임신부,폐렴구균_어르신,전화번호,우편번호,도로명주소,데이터기준일
365다담은한방병원,N,N,N,N,Y,N,Y,033-910-0993,24329,"강원특별자치도 춘천시 춘천로 188-0, (효자동) 10층",2025-04-30
365성모가정의학과의원,Y,Y,N,Y,Y,Y,Y,033-251-3500,24297,"강원특별자치도 춘천시 후석로 352, (후평동, 국제빌딩) 2층",2025-04-30
강남내과의원,N,N,N,N,Y,N,Y,033-242-8885,24366,"강원특별자치도 춘천시 춘천로 68, (효자동) 3,4층",2025-04-30
강남리본정형외과의원,N,N,N,N,Y,N,N,033-263-7500,24378,"강원특별자치도 춘천시 후석로 7, (석사동) 1층",2025-04-30
강원대학교병원,Y,Y,Y,Y,Y,Y,N,033-258-9498,24289,"강원도 춘천시 백령로 156, (효자동) ",2025-04-30
강원특별자치도재활병원,N,N,N,N,Y,N,Y,033-248-7727,24227,"강원특별자치도 춘천시 충열로142번길 24-16, (우두동) ",2025-04-30
고려비뇨기과의원,N,N,N,N,Y,N,N,033-242-7580,24304,"강원특별자치도 춘천시 보안길 65, (후평동) ",2025-04-30
고석연가정의학과의원,Y,Y,Y,Y,Y,N,Y,033-254-0121,24313,"강원특별자치도 춘천시 후석로 244, (후평동) 2층",2025-04-30
구철회내과의원,Y,Y,Y,Y,Y,Y,Y,033-244-3500,24329,"강원특별자치도 춘천시 춘천로 188, (효자동) ",2025-04-30
국립춘천병원,N,N,N,N,N,N,N,033-260-3245,24409,강원특별자치도 춘천시 동산면 영서로 824 824,2025-04-30
권재활의학과의원,N,N,N,N,Y,N,Y,033-244-3465,24274,"강원특별자치도 춘천시 중앙로 104, (낙원동) ",2025-04-30
그랜드아름다운의원,Y,N,N,Y,Y,N,N,033-255-6470,24273,"강원특별자치도 춘천시 중앙로 68, (중앙로2가) 4층",2025-04-30
그랜드연합내과의원,N,N,N,N,Y,N,Y,033-257-9222,24273,"강원특별자치도 춘천시 중앙로 68, (중앙로2가) 3층",2025-04-30
그랜드연합의원,Y,N,N,Y,Y,N,N,033-255-6470,24273,"강원특별자치도 춘천시 중앙로 68, (중앙로2가) 5~6층",2025-04-30
김내과의원,Y,N,N,Y,Y,N,Y,033-252-7595,24237,"강원특별자치도 춘천시 영서로 2777, (우두동) ",2025-04-30
김도훈재활의학과의원,Y,N,N,Y,Y,N,Y,033-253-6606,24304,"강원특별자치도 춘천시 후석로 312, (후평동) ",2025-04-30
김정배이비인후과의원,Y,N,N,Y,Y,N,N,033-255-7575,24304,"강원특별자치도 춘천시 후석로 304, (후평동) ",2025-04-30
김진봉내과의원,N,N,N,N,Y,N,Y,033-241-7582,24364,"강원특별자치도 춘천시 방송길 98, (온의동) 4층",2025-04-30
김호준외과의원,N,N,N,N,Y,N,Y,033-251-0129,24355,"강원특별자치도 춘천시 약사고개길 15, (죽림동) ",2025-04-30
까르르 하나 소아청소년과 의원,Y,Y,N,Y,Y,Y,N,033-251-8882,24256,"강원특별자치도 춘천시 후석로 355, (후평동) 3층",2025-04-30
노정호백세정형외과의원,N,N,N,N,Y,N,N,033-253-0100,24431,"강원특별자치도 춘천시 스포츠타운길 494, (온의동) 3,4층",2025-04-30
누가의원,Y,N,N,Y,Y,N,N,033-261-7400,24276,"강원특별자치도 춘천시 중앙로 138, (소양로4가) 2층",2025-04-30
누가이비인후과의원,Y,N,N,Y,Y,N,N,033-263-7544,24414,"강원특별자치도 춘천시 퇴계농공로 10, (석사동) ",2025-04-30
누누베베소아과의원,Y,Y,Y,Y,Y,Y,Y,033-254-2266,24226,"강원특별자치도 춘천시 충열로 39, (우두동) ",2025-04-30
늘찬소아청소년과의원,Y,Y,Y,Y,N,Y,N,033-244-0306,24221,"강원특별자치도 춘천시 우두1길 101, (우두동) 306호",2025-04-30
늘편한내과의원,N,N,N,N,N,N,N,033-261-1147,24422,"강원특별자치도 춘천시 김유정로 1874, (퇴계동) 2층",2025-04-30
다나신경외과의원,N,N,N,N,Y,N,N,033-253-6700,24353,"강원특별자치도 춘천시 중앙로 59, (중앙로2가) 4.5층",2025-04-30
다나연세의원,Y,Y,N,Y,Y,N,Y,033-253-6701,24353,"강원특별자치도 춘천시 중앙로 59, (중앙로2가) 3층",2025-04-30
다사랑의원,Y,Y,Y,Y,Y,N,Y,033-244-8275,24237,"강원특별자치도 춘천시 영서로 2779, (우두동) ",2025-04-30
동락가정의학과의원,N,N,N,N,Y,N,N,033-244-9977,24350,"강원특별자치도 춘천시 춘천로 185, (운교동) ",2025-04-30
두드림내과의원,N,N,N,N,Y,Y,Y,033-257-2575,24221,"강원특별자치도 춘천시 우두1길 87, (우두동) 2층",2025-04-30
두리의원,Y,Y,N,Y,Y,Y,Y,033-263-7582,24421,"강원특별자치도 춘천시 안마산로 199, (퇴계동) 3층 302호",2025-04-30
리온재활의학과의원,N,N,N,N,Y,N,Y,033-241-3322,24329,"강원특별자치도 춘천시 춘천로 188, (효자동) ",2025-04-30
마디온정형외과의원,N,N,N,N,Y,N,Y,033-249-8520,24455,"강원특별자치도 춘천시 안마산로 107, (퇴계동) 2.3.4층",2025-04-30
명석진 내과의원,Y,N,N,Y,Y,Y,N,033-263-0938,24320,"강원특별자치도 춘천시 후석로186번길 14, (석사동) ",2025-04-30
문유보이비인후과의원,N,N,N,N,Y,N,Y,033-261-7580,24391,"강원특별자치도 춘천시 후석로 12, (석사동) ",2025-04-30
미래산부인과의원,Y,Y,Y,Y,Y,Y,Y,033-241-7677,24276,"강원특별자치도 춘천시 중앙로 118, (소양로4가) ",2025-04-30
미사랑의원,N,N,N,N,Y,N,N,033-263-2638,24414,"강원특별자치도 춘천시 퇴계농공로 22, (석사동) ",2025-04-30
민병철내과의원,N,N,N,N,Y,N,Y,033-251-8242,24304,"강원특별자치도 춘천시 후석로 326, (후평동, 엠타워빌딩) 403호",2025-04-30
박관영정형외과의원,N,N,N,N,Y,N,N,033-260-4800,24404,"강원특별자치도 춘천시 동내면 춘천순환로 62, 2층",2025-04-30
박찬우365의원,Y,Y,N,Y,Y,Y,Y,033-253-0365,24455,"강원특별자치도 춘천시 안마산로 97, (퇴계동) 2층",2025-04-30
배재천신경과의원,N,N,N,N,Y,N,Y,033-261-3710,24391,"강원특별자치도 춘천시 후석로 22, (석사동) ",2025-04-30
봄내랑내과의원,N,N,N,N,Y,N,Y,033-257-3009,24304,"강원특별자치도 춘천시 후석로 318, (후평동) 3,4층",2025-04-30
봄내사랑의원,Y,N,N,Y,Y,Y,Y,033-253-9510,24249,"강원특별자치도 춘천시 모수물길 70, (소양로2가) 2층",2025-04-30
봄내아이 소아청소년과의원,Y,Y,Y,Y,N,Y,Y,033-264-1191,24413,"강원특별자치도 춘천시 지석로 11, (퇴계동) ",2025-04-30
사랑나무 소아청소년과의원,Y,Y,N,Y,N,N,N,033-252-8275,24364,"강원특별자치도 춘천시 방송길 84, (온의동,롯데마트3층) ",2025-04-30
사랑마취통증의학과의원,N,N,N,N,Y,N,Y,033-242-7516,24422,"강원특별자치도 춘천시 안마산로 99-1, (퇴계동) 4층",2025-04-30
삼성신경외과의원,N,N,N,N,Y,N,Y,033-251-3227,24276,"강원특별자치도 춘천시 중앙로 136, (소양로4가) 5층",2025-04-30
삼성연합의원,N,N,N,N,Y,N,N,033-264-5577,24374,"강원특별자치도 춘천시 효석로 37, (효자동) ",2025-04-30
새봄의원,N,N,N,N,Y,N,Y,033-264-5100,24404,"강원특별자치도 춘천시 동내면 공지로 76, 2층",2025-04-30
서울삼성산부인과의원,Y,Y,N,Y,Y,Y,N,033-912-8006,24352,"강원특별자치도 춘천시 금강로 67-1, (조양동) 5층",2025-04-30
서울아산내과의원,Y,Y,N,N,Y,N,Y,033-243-0826,24433,"강원특별자치도 춘천시 영서로 2341, (온의동) ",2025-04-30
서울의원,N,N,N,N,Y,N,Y,033-263-7658,24422,"강원특별자치도 춘천시 김유정로 1852-35, (퇴계동) 3층",2025-04-30
석사성모의원,N,N,N,N,Y,N,Y,033-263-4589,24318,"강원특별자치도 춘천시 우석로101번길 86, (석사동, 석사대우아파트상가) 205.206호",2025-04-30
성모스마일내과의원,Y,N,N,Y,Y,Y,Y,033-255-0119,24304,"강원특별자치도 춘천시 후석로 294, (후평동) 3층",2025-04-30
성심의원,Y,Y,N,Y,Y,Y,Y,033-262-3114,24378,"강원특별자치도 춘천시 퇴계로 166, (퇴계동) ",2025-04-30
세중힐링의원,N,N,N,N,Y,N,Y,033-244-5755,24365,"강원특별자치도 춘천시 공지로333번길 8, (효자동) ",2025-04-30
소망의원,Y,Y,N,Y,Y,N,Y,033-264-5191,24390,"강원특별자치도 춘천시 퇴계로 243, (석사동) 3층",2025-04-30
송이비인후과의원,Y,Y,N,Y,Y,Y,Y,033-244-7550,24442,"강원특별자치도 춘천시 춘주로 143, (퇴계동) ",2025-04-30
수앤영산부인과의원,Y,Y,N,N,N,Y,N,033-253-0005,24353,"강원특별자치도 춘천시 금강로 72, (조양동, 흥안빌딩) 2층",2025-04-30
슬기로운정형외과의원,N,N,N,N,Y,N,N,033-257-6700,24436,"강원특별자치도 춘천시 경춘로 2364, (온의동) 2층",2025-04-30
심소아청소년과의원,Y,Y,Y,Y,N,Y,Y,033-264-0369,24209,"강원특별자치도 춘천시 동면 춘천순환로 609, 3층",2025-04-30
아름다운산부인과의원,Y,N,Y,Y,Y,Y,N,033-244-7800,24435,"강원특별자치도 춘천시 터미널길 21, (온의동) 1~4층",2025-04-30
안정효내과의원,Y,N,N,Y,Y,N,Y,033-262-9889,24378,"강원특별자치도 춘천시 퇴계로 188, (석사동) 썬타워 3층",2025-04-30
에스엠이비인후과의원,Y,N,N,Y,Y,Y,N,033-243-5050,24448,"강원특별자치도 춘천시 안마산로 111, (퇴계동) 2층",2025-04-30
연세강이비인후과의원,N,N,N,N,Y,N,Y,033-243-0815,24353,"강원특별자치도 춘천시 금강로 72, (조양동) ",2025-04-30
연세이상무신경과의원,N,N,N,N,Y,N,Y,033-252-9606,24304,"강원특별자치도 춘천시 보안길 65, (후평동, 엠타워빌딩) 501호",2025-04-30
연세통증의학과의원,N,N,N,N,Y,N,N,033-243-0153,24357,"강원특별자치도 춘천시 중앙로 91-1, (중앙로2가) ",2025-04-30
영인요양병원,N,N,N,N,Y,N,N,033-256-5688,24273,"강원특별자치도 춘천시 중앙로 60-0, (중앙로2가) ",2025-04-30
예사랑내과의원,N,N,N,N,Y,N,N,033-264-8875,24376,"강원특별자치도 춘천시 퇴계로93번길 4-8, (퇴계동, 이삭빌딩) 3층 301호",2025-04-30
우리메디의원,Y,Y,N,Y,Y,Y,Y,033-252-7553,24221,"강원특별자치도 춘천시 우두1길 17, (우두동) 우리 프라자 3층 303,304호",2025-04-30
우리소아과의원,Y,Y,Y,Y,Y,Y,Y,033-263-9502,24415,"강원특별자치도 춘천시 영서로 2025, (석사동) ",2025-04-30
윤덕형내과의원,N,N,N,N,Y,N,Y,033-264-9897,24404,"강원특별자치도 춘천시 동내면 춘천순환로 58, 2,4층",2025-04-30
윤동석내과의원,Y,Y,N,Y,Y,Y,Y,033-263-7524,24457,"강원특별자치도 춘천시 칠전서길 38-14, (칠전동) ",2025-04-30
윤화준소아청소년과의원,Y,Y,N,Y,Y,Y,Y,033-262-8275,24414,"강원특별자치도 춘천시 퇴계농공로 22, (석사동) ",2025-04-30
의료법인 춘천서인병원,N,N,N,N,Y,N,N,033-260-7920,24409,"강원특별자치도 춘천시 동산면 새술막길 315-77, 315",2025-04-30
이봉휘내과의원,N,N,N,N,Y,N,N,033-242-4020,24353,"강원특별자치도 춘천시 금강로 72, (조양동) ",2025-04-30
이승훈내과의원,N,N,N,N,Y,N,Y,033-253-5118,24273,"강원특별자치도 춘천시 중앙로 66, (중앙로2가) ",2025-04-30
이앤신 소아청소년과의원,Y,Y,Y,Y,N,N,N,033-263-2255,24404,강원특별자치도 춘천시 동내면 춘천순환로 58 메디피아건물 301-2호,2025-04-30
이영순내과의원,N,N,N,N,Y,N,N,033-263-3007,24414,"강원특별자치도 춘천시 퇴계농공로 22, (석사동) ",2025-04-30
이정열내과의원,Y,Y,N,Y,Y,N,Y,033-243-7659,24451,"강원특별자치도 춘천시 춘주로 151, (퇴계동) 2층",2025-04-30
이정환내과의원,N,N,N,N,Y,N,Y,033-263-8899,24408,"강원특별자치도 춘천시 동내면 영서로 1794, 2층",2025-04-30
인구보건복지협회강원지회가족보건의원,Y,Y,Y,Y,Y,Y,Y,033-260-8900,24422,"강원특별자치도 춘천시 김유정로 1846, (퇴계동) ",2025-04-30
인성병원,N,N,N,N,Y,N,Y,033-253-3030,24272,"강원특별자치도 춘천시 금강로 39, (낙원동) ",2025-04-30
임정근내과의원,N,N,N,N,Y,N,Y,033-244-3900,24304,"강원특별자치도 춘천시 후석로 278, (후평동) ",2025-04-30
전창호내과의원,N,N,N,N,Y,N,Y,033-254-9119,24276,"강원특별자치도 춘천시 중앙로 136, (소양로4가) ",2025-04-30
정담의원,Y,N,N,Y,Y,Y,N,033-910-1005,24431,"강원특별자치도 춘천시 스포츠타운길 496, (온의동) 202호",2025-04-30
정봉기내과의원,Y,N,N,Y,Y,N,Y,033-241-1511,24209,강원특별자치도 춘천시 동면 춘천로 457 ,2025-04-30
주안내과의원,Y,N,N,Y,Y,N,Y,033-263-1500,24415,"강원특별자치도 춘천시 지석로 89, (석사동, 더퍼스트빌딩) 302호",2025-04-30
지화영소아청소년과의원,Y,Y,Y,Y,Y,Y,N,033-252-9993,24455,"강원특별자치도 춘천시 안마산로 109, (퇴계동) 2층",2025-04-30
참가정의원,N,N,N,N,Y,N,Y,033-244-7582,24352,"강원특별자치도 춘천시 금강로 73, (조양동) ",2025-04-30
참조은의원,Y,Y,N,Y,Y,Y,Y,033-263-5770,24381,"강원특별자치도 춘천시 남춘천새길 42, (석사동, 세경5차아파트) 101호",2025-04-30
최병기재활의학과의원,N,N,N,N,Y,N,Y,033-256-5559,24455,"강원특별자치도 춘천시 안마산로 36, (퇴계동) ",2025-04-30
최훈정형외과의원,N,N,N,N,Y,N,N,033-252-8400,24234,"강원특별자치도 춘천시 후석로 376, (후평동) ",2025-04-30
춘천복십자의원,Y,N,N,Y,Y,Y,Y,033-257-2057,24364,"강원특별자치도 춘천시 방송길 98-1, (온의동) 3층",2025-04-30
춘천새윤요양병원,N,N,N,N,Y,N,N,033-264-3100,24427,"강원특별자치도 춘천시 퇴계공단길 40, (퇴계동) ",2025-04-30
춘천시노인전문병원,N,N,N,N,Y,N,N,033-240-7500,24216,강원특별자치도 춘천시 동면 세실로 252 춘천시노인전문병원,2025-04-30
춘천예현병원,N,N,N,N,Y,N,Y,033-264-9885,24463,"강원특별자치도 춘천시 서면 샛말길 122-11, 122",2025-04-30
춘천요양병원,N,N,N,N,Y,N,Y,033-260-7114,24210,"강원특별자치도 춘천시 동면 춘천로 527-34, ",2025-04-30
춘천탑정형외과의원,N,N,N,N,Y,N,N,033-241-8275,24391,"강원특별자치도 춘천시 후석로 6, (석사동) 5층",2025-04-30
춘천호반요양병원,N,N,N,N,Y,N,N,033-251-9911,24239,"강원특별자치도 춘천시 옛경춘로 663, (삼천동) ",2025-04-30
큰나무이비인후과의원,Y,N,N,Y,Y,Y,N,033-257-7588,24364,"강원특별자치도 춘천시 방송길 104, (온의동) ",2025-04-30
토마스요양병원,N,N,N,N,Y,N,Y,033-253-5000,24416,"강원특별자치도 춘천시 영서로 1925-9, 춘천한방병원",2025-04-30
팀하트의원,N,N,N,N,N,N,Y,033-253-3881,24436,"강원특별자치도 춘천시 경춘로 2354, (온의동) 2층",2025-04-30
한국건강관리협회건강증진의원,Y,Y,N,Y,Y,Y,Y,033-260-0800,24373,"강원특별자치도 춘천시 남춘로 50, (효자동) 한국건강관리협회 신청사 1-6층",2025-04-30
한림대학교춘천성심병원,Y,Y,Y,Y,Y,N,N,033-240-5000,24253,"강원특별자치도 춘천시 삭주로 77, 77",2025-04-30
한마음 소아청소년과의원,Y,Y,Y,Y,Y,Y,Y,033-241-3667,24304,"강원특별자치도 춘천시 후석로 326, (후평동) 5층",2025-04-30
한마음연합의원,Y,Y,Y,Y,Y,Y,Y,033-243-7550,24304,"강원특별자치도 춘천시 보안길 65, (후평동, 503호,504호) ",2025-04-30
한빛의원,Y,Y,N,Y,Y,Y,Y,033-263-6190,24226,"강원특별자치도 춘천시 사우로 38, (사농동) 태영빌딩 2층",2025-04-30
한세의원,N,N,N,N,Y,N,Y,033-254-4939,24335,"강원특별자치도 춘천시 효자로 127, (효자동) ",2025-04-30
햇살따뜻한의원,Y,Y,N,Y,Y,Y,N,033-242-2553,24435,"강원특별자치도 춘천시 경춘로 2353, (온의동, 이마트) 5층",2025-04-30
허남현내과의원,N,N,N,N,Y,N,Y,033-263-5010,24413,"강원특별자치도 춘천시 지석로 11, (퇴계동) 2층",2025-04-30
현대연합의원,Y,N,N,Y,Y,N,Y,033-243-7585,24276,"강원특별자치도 춘천시 중앙로 136, (소양로4가) ",2025-04-30
현대의원,Y,N,N,Y,Y,Y,Y,033-242-2231,24453,"강원특별자치도 춘천시 행촌로 14, (퇴계동, 현대2차아파트 ) 상가동 205호",2025-04-30
호산부인과의원,Y,Y,Y,Y,N,Y,N,033-264-1700,24386,"강원특별자치도 춘천시 퇴계로 189, (석사동) ",2025-04-30
홍내과의원,N,N,N,N,Y,N,N,033-244-7722,24300,"강원특별자치도 춘천시 보안길 70-2, (후평동) 소라빌딩 2층 홍내과의원",2025-04-30
효자한림의원,Y,N,N,Y,Y,Y,Y,033-242-7581,24350,"강원특별자치도 춘천시 춘천로 181, (운교동) ",2025-04-30
후평성심의원,N,N,N,N,Y,N,Y,033-256-3638,24277,"강원특별자치도 춘천시 춘천로296번길 3, (후평동) ",2025-04-30
